University,Location
University of Cape Town,"Cape Town, South Africa"
Scuola Normale Superiore,"Pisa, Italy"
Keio University,"Tokyo, Japan"
Sant'Anna - Scuola Universitaria Superiore Pisa,"Pisa, Italy"
Technische Universit??t Dresden,"Dresden, Germany"
Universitat Aut??noma de Barcelona,"Barcelona, Spain"
Stockholm University,"Stockholm, Sweden"
Texas A&M University,"Galveston, United States"
Tecnol??gico de Monterrey,"Monterrey, Mexico"
Maastricht University,"Maastricht, Netherlands"
Universidad de Chile,"Santiago, Chile"
Queen's University Belfast,United Kingdom
Waseda University,"Tokyo, Japan"
Radboud University,"Nijmegen, Netherlands"
Tel Aviv University,"Tel Aviv, Israel"
Universite libre de Bruxelles,"Brussels, Belgium"
National Chiao Tung University,"Hsinchu City, Taiwan"
University of Illinois at Chicago (UIC),"Chicago, United States"
Arizona State University,"Phoenix, United States"
Western University,"London, Canada"
University of Antwerp,"Antwerp, Belgium"
Vanderbilt University,"Nashville, United States"
Case Western Reserve University,"Cleveland, United States"
University of Canterbury,"Christchurch, New Zealand"
Sapienza University of Rome,"Rome, Italy"
University of Notre Dame,"Notre Dame, United States"
University of Calgary,"Calgary, Canada"
Vrije Universiteit Amsterdam,"Amsterdam, Netherlands"
Victoria University of Wellington,"Kelburn, ellington,??New Zealand"
Sciences Po,"Paris, France"
King Saud University,"Riyadh, Saudi Arabia"
National Cheng Kung University (NCKU),"Tainan City, Taiwan"
Universit??t Hamburg,"Hamburg, Germany"
"The University of Newcastle, Australia (UON)","Callaghan, Australia"
Technion - Israel Institute of Technology,"Haifa, Israel"
Queen's University at Kingston,"Kingston, Canada"
Georgetown University,"Washington D.C., United States"
University of Sussex,"Brighton, United Kingdom"
Universiti Putra Malaysia (UPM),"Seri Kembangan, Malaysia"
Universiti Kebangsaan Malaysia (UKM),"Bangi, Malaysia"
The University of Arizona,"Tucson, United States"
University of Wollongong,"Wollongong, Australia"
Complutense University of Madrid,"Madrid, Spain"
Loughborough University,"Loughborough, United Kingdom"
American University of Beirut (AUB),"Beirut , Lebanon"
Universit?? Grenoble Alpes,"Grenoble, France"
Al-Farabi Kazakh National University,"Almaty, Kazakhstan"
University of Leicester,"Leicester, United Kingdom"
Rheinische Friedrich-Wilhelms-Universit??t Bonn,"Bonn, Germany"
Saint Petersburg State University,"Saint Petersburg, Russia"
Macquarie University,"Sydney, Australia"
Universit?? Paris-Saclay,France
Tufts University,"Medford, United States"
National University of Ireland Galway,"Galway, Ireland"
Simon Fraser University,"Burnaby, Canada"
Chulalongkorn University,"Bangkok, Thailand"
RMIT University,"Melbourne, Australia"
Queensland University of Technology (QUT),"Brisbane, Australia"
University of Massachusetts Amherst,"Amherst, United States"
University of Tsukuba,"Tsukuba City, Japan"
Novosibirsk State University,"Novosibirsk , Russia"
University of Miami,"Miami, United States"
Universiti Teknologi Malaysia,"Skudai, Malaysia"
Goethe-University Frankfurt am Main,"Frankfurt, Germany"
Universidad Nacional de Colombia,"Bogot??, Colombia"
Universidad de los Andes,"Bogot??, Colombia"
Kyung Hee University,South Korea
Beijing Normal University,"Beijing, China (Mainland)"
Royal Holloway University of London,"Egham, United Kingdom"
Norwegian University of Science And Technology,"Trondheim, Norway"
Universit??t Stuttgart,"Stuttgart, Germany"
Curtin University,"Perth, Australia"
North Carolina State University,"Raleigh, United States"
National Taiwan University of Science and Technology (Taiwan Tech),"Taipei City, Taiwan"
Indian Institute of Technology Madras (IITM),"Chennai, India"
University of Surrey,"Guildford, United Kingdom"
Universiti Sains Malaysia (USM),"Gelugor, Malaysia"
King Abdulaziz University (KAU),"Jeddah, Saudi Arabia"
University of Dundee,"Dundee, United Kingdom"
Universit?? Paris 1 Panth??on-Sorbonne,"Paris, France"
University of Navarra,"Pamplona, Spain"
Ecole des Ponts ParisTech,"Paris, France"
Technical University of Darmstadt,"Darmstadt, Germany"
University of East Anglia (UEA),"Norwich, United Kingdom"
Universitat Polit??cnica de Catalunya ?? BarcelonaTech (UPC),"Barcelona, Spain"
University of Turku,"Turku, Finland"
University of Strathclyde,"Glasgow, United Kingdom"
Universitas Indonesia,"Depok, Indonesia"
University of South Australia,"Magill, Australia"
Dalhousie University,"Halifax, Canada"
Universidad Carlos III de Madrid (UC3M),"Madrid, Spain"
Wuhan University,"Wuhan, China (Mainland)"
Rutgers University?€?New Brunswick,"New Brunswick, United States"
University of Gothenburg,"Gothenburg, Sweden"
University College Cork,"Cork, Ireland"
Universit??t Innsbruck,"Innsbruck, Austria"
Friedrich-Alexander-Universit??t Erlangen-N??rnberg,"Erlangen, Germany"
Link??ping University,"Link??ping, Sweden"
University of Ottawa,"Ottawa, Canada"
National Taiwan Normal University,"Taipei City, Taiwan"
Bauman Moscow State Technical University,"Moscow, Russia"
University of Waikato,"Hamilton , New Zealand"
Indian Institute of Technology Kanpur (IITK),"Kanpur, India"
Deakin University,"Geelong, Australia"
Universit?? Paris-Sorbonne (Paris IV),"Paris, France"
Universit????di Padova,"Padua, Italy"
SOAS University of London,"London, United Kingdom"
Universitat Pompeu Fabra (Barcelona),"Barcelona, Spain"
Ewha Womans University,"Seoul, South Korea"
Hong Kong Baptist University,"Hong Kong, Hong Kong SAR"
"University of California, Santa Cruz","Santa Cruz, United States"
University of Porto,"Porto, Portugal"
Universit?? de Strasbourg,"Strasbourg, France"
Indiana University Bloomington,"Bloomington, United States"
University of Lisbon,"Lisbon , Portugal"
Universit?? Diderot  Paris 7,"Paris, France"
Politecnico di Torino,"Turin, Italy"
"Birkbeck, University of London","London, United Kingdom"
Westf??lische Wilhelms-Universit??t M??nster,"M??nster, Germany"
Indian Institute of Technology Kharagpur (IIT-KGP),"Kharagpur, India"
Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil"
Heriot-Watt University,"Edinburgh, United Kingdom"
University of Tasmania,"Hobart, Australia"
University of Tartu,"Tartu, Estonia"
Charles University,"Prague, Czech Republic"
Tongji University,"Shanghai, China (Mainland)"
Massey University,"Palmerston North, New Zealand"
University at Buffalo SUNY,"Buffalo, United States"
Sun Yat-sen University,"Guangzhou, China (Mainland)"
Lincoln University,"Lincoln, New Zealand"
Universit?? de Li??ge,"Arlon, Belgium"
Hiroshima University,"Higashihiroshima City, Japan"
"University of California, Riverside","Riverside, United States"
Tomsk State University,"Tomsk, Russia"
University of Milan,"Milan, Italy"
Harbin Institute of Technology,"Harbin, China (Mainland)"
Yeshiva University,"New York City, United States"
Griffith University,"Nathan, Australia"
National Yang Ming University,"Taipei City, Taiwan"
ENS Paris-Saclay,"Cachan, France"
Bandung Institute of Technology (ITB),"Bandung, Indonesia"
University of Cologne,"Cologne, Germany"
Universidad Austral,"Pilar, Argentina"
Belarusian State University,"Minsk, Belarus"
Mahidol University,"Nakhon Pathom, Thailand"
L.N. Gumilyov Eurasian National University (ENU),"Nur-Sultan, Kazakhstan"
Universidad de Belgrano,"Buenos Aires, Argentina"
Umea University,"Ume??, Sweden"
Gwangju Institute of Science and Technology (GIST),"Gwangju, South Korea"
Boston College,"Newton, United States"
University of Hawai??i at M??noa,"Honolulu, United States"
Universit??t Jena,"Jena, Germany"
"City, University of London","London, United Kingdom"
Xi?€?an Jiaotong University,"Xi'an, China (Mainland)"
Nankai University,"Tianjin, China (Mainland)"
Northeastern University,"Boston, United States"
Brunel University London,United Kingdom
University of Victoria (UVic),"Victoria, Canada"
"Essex, University of","Colchester, United Kingdom"
Universiti Brunei Darussalam (UBD),"Bandar Seri Begawan, Brunei"
Qatar University,"Doha, Qatar"
Kobe University,"Kobe City, Japan"
Ben-Gurion University of The Negev,"Be'er Sheva, Israel"
George Washington University,"Ashburn, United States"
"Universit?? Paris-Dauphine, Universit?? PSL","Paris, France"
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),"Dolgoprudny, Russia"
Tilburg University,"Tilburg, Netherlands"
University of Jyv??skyl??,"Jyv??skyl??, Finland"
University Ulm,"Ulm, Germany"
La Trobe University,"Melbourne, Australia"
Oxford Brookes University,United Kingdom
Universidade Nova de Lisboa,"Lisbon, Portugal"
Stellenbosch University,"Stellenbosch, South Africa"
University of Witwatersrand,"Johannesburg, South Africa"
Rensselaer Polytechnic Institute,"Troy, United States"
Pontificia Universidad Cat??lica Argentina,"Buenos Aires, Argentina"
Tokyo Medical and Dental University (TMDU),"Tokyo, Japan"
University of Troms?? The Arctic University of Norway,"Troms??, Norway"
James Cook University,"Townsville, Australia"
University of the Philippines,"Quezon City, Philippines"
Virginia Polytechnic Institute and State University,"Blacksburg, United States"
University of St.Gallen (HSG),"St. Gallen, Switzerland"
Aston University,"Birmingham, United Kingdom"
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),"Moscow, Russia"
University of Kent,"Paris, United Kingdom"
MGIMO University,"Moscow, Russia"
Universitat Polit??cnica de Val??ncia,"Val??ncia, Spain"
Universit?? Laval,"Qu??bec, Canada"
Aalborg University,"Aalborg, Denmark"
Tampere University of Technology,"Tampere, Finland"
Universit?? de Montpellier,"Montpellier, France"
HSE University,"Moscow, Russia"
"Stony Brook University, State University of New York","Stony Brook, United States"
University of Southern Denmark (SDU),"Odense, Denmark"
Universit??t Konstanz,"Konstanz, Germany"
National Research Tomsk Polytechnic University,Russia
University of Kansas,"Lawrence, United States"
Universit??t Mannheim,"Mannheim, Germany"
National Sun Yat-sen University,"Kaohsiung City, Taiwan"
United Arab Emirates University,"Al Ain, United Arab Emirates"
Dublin City University,"Dublin, Ireland"
University of Utah,"Salt Lake City, United States"
National Central University,"Taoyuan City, Taiwan"
"University of Colorado, Denver","Denver, United States"
Illinois Institute of Technology,"Chicago, United States"
The American University in Cairo,"Cairo, Egypt"
HUFS - Hankuk (Korea) University of Foreign Studies,"Seoul, South Korea"
"Goldsmiths, University of London","London, United Kingdom"
Taipei Medical University (TMU),"Taipei City, Taiwan"
Johannes Gutenberg Universit??t Mainz,"Mainz, Germany"
Leibniz University Hannover,"Hanover, Germany"
National Technical University of Athens,"Athens, Greece"
Peter the Great St. Petersburg Polytechnic University,"St. Petersburg, Russia"
Ruhr-Universit??t Bochum,"Bochum, Germany"
Universidad Externado de Colombia,"Bogot??, Colombia"
Gadjah Mada University,"Yogyakarta, Indonesia"
University of Coimbra,"Coimbra, Portugal"
V. N. Karazin Kharkiv National University,"Kharkiv, Ukraine"
Vilnius University,"Vilnius, Lithuania"
University of Stirling,"Stirling, United Kingdom"
Washington State University,"Pullman, United States"
American University of Sharjah,"Sharjah, United Arab Emirates"
Arabian Gulf University,"Manama, Bahrain"
Brandeis University,"Waltham, United States"
Satbayev University,"Almaty, Kazakhstan"
Taras Shevchenko National University of Kyiv,"Kyiv, Ukraine"
Universidad de Costa Rica,"San Jose, Costa Rica"
Aix-Marseille University,"Marseille, France"
University of Oulu,"Oulu, Finland"
University of Warsaw,"Warsaw, Poland"
Wake Forest University,"Winston-Salem, United States"
Bilkent University,"Ankara, Turkey"
Hitotsubashi University,"Kunitachi City, Japan"
Shanghai University,"Shanghai, China (Mainland)"
Swinburne University of Technology,"Melbourne, Australia"
The University of Georgia,"Athens, United States"
University of Pisa,"Pisa, Italy"
University of Connecticut,"Storrs, United States"
University of Delaware,"Newark, United States"
University of Iowa,"Iowa City, United States"
University of Texas Dallas,"Richardson, United States"
Bond University,"Gold Coast, Australia"
Christian-Albrechts-University zu Kiel,"Kiel, Germany"
Concordia University,"Montreal, Canada"
Florida State University,"Tallahassee, United States"
Indian Institute of Technology Roorkee (IITR),"Roorkee, India"
Ko?? University,"Istanbul, Turkey"
National University of Sciences And Technology (NUST) Islamabad,"Islamabad, Pakistan"
Pontificia Universidad Cat??lica del Per??,"Lima, Peru"
Swansea University,"Swansea, United Kingdom"
Universidad de Palermo (UP),"Buenos Aires, Argentina"
Xiamen University,"Xiamen, China (Mainland)"
Auckland University of Technology (AUT),"Auckland, New Zealand"
Bangor University,United Kingdom
Kazan (Volga region) Federal University,"Kazan, Russia"
Oregon State University,"Corvallis, United States"
Singapore Management University,Singapore
Sogang University,"Seoul, South Korea"
University of Trento,"Trento, Italy"
Universit?? Paris Descartes,"Paris , France"
York University,"Toronto, Canada"
Beijing Institute of Technology,"Beijing, China (Mainland)"
Institut National des Sciences Appliqu??es de Lyon (INSA),"Lyon, France"
Khalifa University of Science and Technology,"Abu Dhabi, United Arab Emirates"
Sultan Qaboos University,"Muscat, Oman"
Tulane University,"New Orleans, United States"
Universidad de Santiago de Chile (USACH),"Santiago, Chile"
University of Eastern Finland,"Kuopio, Finland"
University of Saskatchewan,"Saskatoon, Canada"
"The University of Tennessee, Knoxville","Knoxville, United States"
Jagiellonian University,"Krakow, Poland"
Martin-Luther-Universit??t Halle-Wittenberg,"Halle, Germany"
Pontificia Universidad Javeriana,"Bogot??, Colombia"
Sabanci University,"Istanbul, Turkey"
Universidad de Zaragoza,"Huesca, Spain"
University of Florence,"Florence, Italy"
"University of Rome ""Tor Vergata""","Rome, Italy"
Universit??t Potsdam,"Potsdam, Germany"
University of New Mexico,"Albuquerque, United States"
Wayne State University,"Detroit, United States"
American University,"Washington D.C., United States"
Dongguk University,"Seoul, South Korea"
Huazhong University of Science and Technology,"Wuhan, China (Mainland)"
Iowa State University,"Ames, United States"
Johannes Kepler University Linz,"Linz, Austria"
Karl-Franzens-Universitaet Graz,"Graz, Austria"
King Khalid University,"Abha, Saudi Arabia"
Middle East Technical University,"Ankara, Turkey"
Sharif University of Technology,"Tehran, Iran, Islamic Republic of"
Tianjin University,"Nankai, China (Mainland)"
Aberystwyth University,"Aberystwyth, United Kingdom"
Cairo University,"Giza, Egypt"
Chang Gung University,"Taoyuan City, Taiwan"
Colorado State University,"Fort Collins, United States"
Julius-Maximilians-Universit??t W??rzburg,"W??rzburg, Germany"
Renmin (People's) University of China,"Beijing, China (Mainland)"
Universit????Cattolica del Sacro Cuore,"Milan, Italy"
University of Naples - Federico II,"Naples, Italy"
Universit??t Bremen,"Bremen, Germany"
University of Delhi,"New Delhi, India"
"University of Maryland, Baltimore County","Baltimore, United States"
Bogazi??i ??niversitesi,"Istanbul, Turkey"
Czech Technical University in Prague,"Prague, Czech Republic"
Jilin University,"Changchun, China (Mainland)"
Abai Kazakh National Pedagogical University,"Almaty, Kazakhstan"
Universidad Polit??cnica de Madrid (UPM),"Madrid, Spain"
Pusan National University,"Busan, South Korea"
UNESP,"S????o Paulo, Brazil"
Saint Joseph University of Beirut (USJ),"Beirut, Lebanon"
University of Guelph,"Guelph, Canada"
Ural Federal University - UrFU,"Ekaterinburg, Russia"
Amirkabir University of Technology,"Tehran, Iran, Islamic Republic of"
Aristotle University of Thessaloniki,"Thessaloniki, Greece"
Chiba University,"Chiba City, Japan"
Jeonbuk National University,"Jeonju, South Korea"
City University of New York,"New York City, United States"
Clark University,"Worcester, United States"
Drexel University,"Philadelphia, United States"
East China Normal University,"Shanghai, China (Mainland)"
Indian Institute of Technology Guwahati (IITG),"Guwahati, India"
"Kingston University, London","Kingston upon Thames, United Kingdom"
Lappeenranta-Lahti University of Technology LUT,"Lappeenranta , Finland"
Lehigh University,"Bethlehem, United States"
Auezov South Kazakhstan University (SKU),"Shymkent, Kazakhstan"
Murdoch University,"Murdoch, Australia"
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""","Kyiv, Ukraine"
The National University of Science and Technology MISIS,"Moscow, Russia"
Okayama University,"Okayama City, Japan"
RUDN University,"Moscow, Russia"
Pontif??cia Universidade Cat??lica de S??o Paulo,"S??o Paulo, Brazil"
Pontif??cia Universidade Cat??lica do Rio de Janeiro,"Rio de Janeiro, Brazil"
Southeast University,"Nanjing, China (Mainland)"
Syracuse University,"Syracuse, United States"
Technische Universit??t Braunschweig,"Braunschweig, Germany"
Graz University of Technology,"Graz, Austria"
The Catholic University of Korea,"Gyeonggi, South Korea"
University of Granada,"Granada, Spain"
Universidad de Montevideo (UM),"Montevideo, Uruguay"
Universidade Federal de S??o Paulo,"S??o Paulo, Brazil"
Universidade Federal do Rio Grande Do Sul,"Porto Alegre, Brazil"
Universit??t des Saarlandes,"Saarbr??cken, Germany"
University of Hohenheim,"Stuttgart, Germany"
Universit??t  Leipzig,"Leipzig, Germany"
Universit??t Regensburg,"Regensburg, Germany"
Universit?? Claude Bernard Lyon 1,"Villeurbanne, France"
University of Bordeaux,"Talence, France"
Universit?? de Fribourg,"Fribourg, Switzerland"
Universit?? du Qu??bec,"Qu??bec, Canada"
Universit?? Paul Sabatier Toulouse III,"Toulouse, France"
University of Aveiro,"Aveiro, Portugal"
University of Baghdad,"Baghdad, Iraq"
University of Cincinnati,"Cincinnati, United States"
University of Limerick,"Limerick, Ireland"
University of Macau,Macau SAR
University of Nebraska - Lincoln,"Lincoln, United States"
University of Oklahoma,"Norman, United States"
University of Pretoria,"Pretoria, South Africa"
University of South Florida,"Tampa, United States"
University of Szeged,"Szeged, Hungary"
Yokohama City University,"Yokohama City, Japan"
Abo Akademi University,"Turku, Finland"
Ateneo de Manila University,"Quezon City, Philippines"
Bar-Ilan University,"Ramat Gan, Israel"
Beihang University (former BUAA),"Beijing, China (Mainland)"
Chiang Mai University,"Chiang Mai, Thailand"
William & Mary,"Williamsburg, United States"
Coventry University,"Coventry, United Kingdom"
Dalian University of Technology,"Dalian, China (Mainland)"
East China University of Science and Technology,"Shanghai, China (Mainland)"
Flinders University,"Adelaide, Australia"
Howard University,"Washington D.C., United States"
Instituto Tecnol??gico de Buenos Aires (ITBA),"Buenos Aires, Argentina"
Iran University of Science and Technology,"Tehran, Iran, Islamic Republic of"
Justus-Liebig-University Giessen,"Giessen, Germany"
Kanazawa University,"Kanazawa, Japan"
Kumamoto University,"Kumamoto City, Japan"
"Lingnan University, Hong Kong","Hong Kong, Hong Kong SAR"
Masaryk University,"Brno, Czech Republic"
Michigan Technological University,"Houghton, United States"
Nagasaki University,"Nagasaki City, Japan"
National Research Saratov State University,"Saratov, Russia"
Osaka City University,"Osaka City, Japan"
Philipps-Universit??t Marburg,"Marburg, Germany"
Sejong University,"Seoul, South Korea"
Shandong University,"Jinan, China (Mainland)"
Sichuan University,"Chengdu, China (Mainland)"
South China University of Technology,"Guangzhou, China (Mainland)"
Southern Federal University,"Rostov-on-Don, Russia"
Tokyo University of Agriculture and Technology,"Tokyo, Japan"
Umm Al-Qura University,"Makkah, Saudi Arabia"
Universidad de Alcal??,"Alcal?? de Henares, Spain"
Universidad Nacional de La Plata (UNLP),"La Plata, Argentina"
Universidade Federal de Minas Gerais,"Belo Horizonte, Brazil"
Universit?? degli Studi di Pavia,"Pavia, Italy"
University of Turin,"Turin, Italy"
University of Bayreuth,"Bayreuth, Germany"
Universitat de Valencia,"Val??ncia, Spain"
University Paris 2 Panth??on-Assas,France
University of Canberra,"Bruce, Australia"
University of Jordan,"Amman, Jordan"
University of Kentucky,"Lexington, United States"
University of Manitoba,"Winnipeg, Canada"
University of Mons,"Mons, Belgium"
University of Oregon,"Eugene, United States"
University of Science and Technology Beijing,"Beijing, China (Mainland)"
University of Tampere,"Tampere, Finland"
University of Ulsan,"Ulsan, South Korea"
University of Vermont,"Burlington, United States"
University of Westminster,"London, United Kingdom"
Vilnius Gediminas Technical University,"Vilnius , Lithuania"
Western Sydney University,"Milperra, Australia"
American University in Dubai,"Dubai, United Arab Emirates"
Brno University of Technology,"Brno, Czech Republic"
Central Queensland University (CQUniversity Australia),"Norman Gardens, Australia"
Chonnam National University,"Gwangju, South Korea"
Far Eastern Federal University,"Vladivostok, Russia"
Indiana University?€?Purdue University Indianapolis,"Indianapolis, United States"
Inha University,"Incheon, South Korea"
Istanbul Technical University,"Maslak-Istanbul, Turkey"
ITMO University,"St. Petersburg, Russia"
Jadavpur University,"Kolkata, India"
Jordan University of Science & Technology,"Irbid, Jordan"
Keele University,"Keele, United Kingdom"
Lanzhou University,"Lanzhou, China (Mainland)"
Lebanese American University,"Byblos, Lebanon"
National Chengchi University,"Taipei City, Taiwan"
National Chung Hsing University,"Taichung City, Taiwan"
National Taipei University of Technology,"Taipei City, Taiwan"
The New School,"New York, United States"
Tallinn University of Technology (TalTech),"Tallinn, Estonia"
TU Dortmund University,"Dortmund, Germany"
Thammasat University,"Bangkok, Thailand"
Universidad An??huac M??xico,"Huixquilucan, Mexico"
Universidad de Antioquia,"Medellin, Colombia"
Universidad de La Habana,"Havana, Cuba"
University of Salamanca,"Salamanca, Spain"
Universidad de San Andr??s - UdeSA,"Buenos Aires, Argentina"
Universidad de Sevilla,"Seville, Spain"
Universidad Iberoamericana IBERO,"Mexico City, Mexico"
Universidade de Santiago de Compostela,"Santiago de Compostela, Spain"
Universit??t Duisburg-Essen,"Duisburg, Germany"
Universit?? de Sherbrooke,"Sherbrooke, Canada"
Universit?? Nice Sophia Antipolis,"Nice, France"
Universiti Teknologi PETRONAS (UTP),"Seri Iskandar, Malaysia"
University of Bradford,"Bradford, United Kingdom"
University of Haifa,"Haifa, Israel"
University of Houston,"Houston, United States"
University of Hull,"Hull, United Kingdom"
University of Hyderabad,"Hyderabad, India"
University of Johannesburg,"Johannesburg, South Africa"
University of Kufa,"Kufa, Iraq"
University of Massachusetts Boston,"Boston, United States"
"University of Missouri, Columbia","Columbia, United States"
University of Portsmouth,"Portsmouth, United Kingdom"
University of South Carolina,"Columbia, United States"
University of Tehran,"Tehran, Iran, Islamic Republic of"
Ulster University,"Coleraine, United Kingdom"
University of Zagreb,"Zagreb, Croatia"
Warsaw University of Technology,"Warsaw, Poland"
Ajou University,"Suwon, South Korea"
Anna University,"Chennai, India"
Beijing Foreign Studies University,"Beijing, China (Mainland)"
Carleton University,"Ottawa, Canada"
Charles Darwin University,"Casuarina, Australia"
Clarkson University,"Potsdam, United States"
Technological University Dublin,"Dublin, Ireland"
Academician Y.A. Buketov Karaganda University,"Karaganda, Kazakhstan"
E??tv??s Lor??nd University,"Budapest, Hungary"
Gifu University,"Gifu City, Japan"
Hallym University,"Chuncheon, South Korea"
Instituto Polit??cnico Nacional (IPN),"Ciudad de M??xico, Mexico"
Instituto Tecnol??gico Aut??nomo de M??xico (ITAM),"Mexico City, Mexico"
Kagoshima University,"Kagoshima City, Japan"
Kazakh-British Technical University,"Almaty, Kazakhstan"
Konkuk University,"Seoul, South Korea"
Kuwait University,"Kuwait City, Kuwait"
Louisiana State University,"Baton Rouge, United States"
Missouri University of Science and Technology,"Rolla, United States"
National and Kapodistrian University of Athens,"Athens, Greece"
Quaid-i-Azam University,"Islamabad, Pakistan"
Riga Technical University,"Riga, Latvia"
Rutgers University?€?Newark,"Newark, United States"
Shanghai International Studies University,"Shanghai, China (Mainland)"
Stevens Institute of Technology,"Hoboken, United States"
Temple University,"Philadelphia, United States"
Tokyo Metropolitan University,"Tokyo, Japan"
Universidad Adolfo Ib????ez,"Santiago, Chile"
Universidad Cat??lica Andres Bello,"Guayana City, Venezuela"
Universidad Central de Venezuela,"Caracas, Venezuela"
Universidad de Concepci??n,"Concepci??n, Chile"
University of the Basque Country,"Leioa, Spain"
Universidad Torcuato Di Tella,"Buenos Aires, Argentina"
Universidade Cat??lica Portuguesa - UCP,"Lisbon, Portugal"
Universidade de Bras??lia,"Bras??lia, Brazil"
Universidade Federal de S??o Carlos (UFSCar),"S??o Paulo, Brazil"
Bielefeld University,"Bielefeld, Germany"
University Duesseldorf,"D??sseldorf, Germany"
Universit?? de Rennes 1,"Rennes, France"
University at Albany SUNY,"Albany, United States"
The University of Alabama,"Tuscaloosa, United States"
University of Crete,"Heraklion, Greece"
University of Debrecen,"Debrecen, Hungary"
University of Ljubljana,"Ljubljana, Slovenia"
University of Milano-Bicocca,"Milan, Italy"
University of Minho,"Braga, Portugal"
University of Seoul,"Seoul, South Korea"
University of Windsor,"Windsor, Canada"
Virginia Commonwealth University,"Richmond, United States"
Worcester Polytechnic Institute,"Worcester, United States"
Ain Shams University,"Cairo, Egypt"
Airlangga University,"Surabaya, Indonesia"
Beijing Jiaotong University,"Beijing, China (Mainland)"
Beijing University of Technology,"Beijing, China (Mainland)"
Bournemouth University,"Poole, United Kingdom"
China Agricultural University,"Beijing, China (Mainland)"
Clemson University,"Clemson, United States"
Comenius University in Bratislava,"Bratislava, Slovakia"
Dankook University,"Seoul, South Korea"
De La Salle University,"Manila, Philippines"
Hunan University,"Changsha, China (Mainland)"
International Islamic University Malaysia (IIUM),"Kuala Lumpur, Malaysia"
Kaunas University of Technology,"Kaunas, Lithuania"
Khazar University,"Baku, Azerbaijan"
Kyungpook National University,"Daegu, South Korea"
Lahore University of Management Sciences (LUMS),"Lahore, Pakistan"
Lobachevsky University,"Nizhny Novgorod, Russia"
London Metropolitan University,"London, United Kingdom"
"Manipal Academy of Higher Education, Manipal, Karnataka, India","Manipal, India"
Maynooth University,"Maynooth, Ireland"
Memorial University of Newfoundland,"St. John's, Canada"
Middlesex University,"London, United Kingdom"
"National Technical University  ""Kharkiv Polytechnic Institute""","Kharkiv, Ukraine"
Niigata University,"Niigata City, Japan"
Osaka Prefecture University,"Osaka City, Japan"
Palack?? University Olomouc,Czech Republic
Pontificia Universidad Cat??lica de Valpara??so,"Valpara??so, Chile"
Rhodes University,"Grahamstown, South Africa"
Smith College,"Northampton, United States"
"Sofia University ""St. Kliment Ohridski""","Sofia, Bulgaria"
Sophia University,"Tokyo, Japan"
Southern Methodist University,"Dallas, United States"
Texas Tech University,"Lubbock, United States"
Tokyo University of Science,"Kagurazaka, Japan"
Universidad de la Rep??blica (Udelar),"Montevideo, Uruguay"
Universidad San Francisco de Quito (USFQ),"Quito, Ecuador"
Universidad Nacional de C??rdoba - UNC,"C??rdoba, Argentina"
Ca' Foscari University of Venice,"Venice, Italy"
University of Genoa,"Genoa, Italy"
University of Modena and Reggio Emilia,"Modena, Italy"
University of Trieste,"Trieste, Italy"
Universiti Utara Malaysia (UUM),"Sintok, Malaysia"
University of Brighton,United Kingdom
University of Bucharest,"Bucharest, Romania"
University of Central Florida,"Orlando, United States"
University of Denver,"Denver, United States"
University of Dhaka,"Dhaka, Bangladesh"
University of Kwazulu-Natal,"Pinetown, South Africa"
University of Latvia,"Riga, Latvia"
University of Patras,"Patras, Greece"
University of Plymouth,"Plymouth, United Kingdom"
University of Sharjah,"Sharjah, United Arab Emirates"
University of Wyoming,"Laramie, United States"
Victoria University,"Melbourne, Australia"
Abu Dhabi University,"Abu Dhabi, United Arab Emirates"
Alexandria University,"Alexandria, Egypt"
Al Imam Mohammad Ibn Saud Islamic University,"Riyadh, Saudi Arabia"
University of Klagenfurt,"Klagenfurt, Austria"
Belarusian National Technical University (BNTU),"Minsk, Belarus"
Bogor Agricultural University,"Bogor, Indonesia"
Brigham Young University,"Provo, United States"
Budapest University of Technology and Economics,"Budapest, Hungary"
Edith Cowan University,"Joondalup, Australia"
Florida International University,"Miami, United States"
Georgia State University,"Atlanta, United States"
Gunma University,"Maebashi, Japan"
Hacettepe University,"Ankara, Turkey"
Kansas State University,"Manhattan, United States"
Kasetsart University,"Bangkok, Thailand"
King Faisal University,"Hofuf, Saudi Arabia"
Loyola University Chicago,"Chicago, United States"
Nagoya Institute of Technology (NIT),"Nagoya, Japan"
Northumbria University at Newcastle,"Newcastle upon Tyne, United Kingdom"
Paris Lodron University of Salzburg,"Salzburg , Austria"
Universidad Aut??noma Metropolitana (UAM),"Mexico City, Mexico"
Universidad de La Sabana,"Bogot??, Colombia"
Universidad Diego Portales (UDP),"Santiago, Chile"
Universidad Sim??n Bol??var (USB),"Caracas, Venezuela"
Universidade Federal de Santa Catarina,"Florian??polis, Brazil"
Universita' degli Studi di Ferrara,"Ferrara, Italy"
Universit?? degli Studi di Perugia,"Perugia, Italy"
Universit?? degli studi Roma Tre,"Rome, Italy"
Universit?? de Lorraine,"Nancy, France"
Universit?? de Nantes,"Nantes, France"
Universit?? Lumi??re Lyon 2,"Lyon, France"
